Day,Time,Hour,Downlink_traffic,Downlink_traffic (normalized),Uplink_traffic_volume_(bit),Uplink_traffic (normalized),Average_user_number,Average_user_number(normalized),Maximum_user_number,Maximum_user_number(normalized),User_Downlink_Average_Throughput_(kbps),User_Downlink_Average_Throughput_(kbps) (normalized),User_Uplink_Average_Throughput_(kbps),User_Uplink_Average_Throughput_(kbps) (normalized),Cell_Downlink_Average_Throughput_(kbps),Cell_Downlink_Average_Throughput_(kbps) (normalized),Cell_Uplink_Average_Throughput_(kbps),Cell_Uplink_Average_Throughput_(kbps) (normalized),Downlink_Resource_Block_Utilizing_Rate_(Percentage),Downlink_Resource_Block_Utilizing_Rate_(Percentage)(normalized),Uplink_Resource_Block_Utilizing_Rate_(Percentage),Uplink_Resource_Block_Utilizing_Rate_(Percentage) (normalized),Average_CPU_Load_by_user_plane,Average_CPU_Load_by_user_plane (normalized)
Sunday,18,18:00,17883866328,0.346928982,1762907080,0.283946029,36.468,0.753864568,55,0.512195122,2645.154589,0.032502675,313.8840891,0.012083312,7733.272879,0.290534203,702.4049094,0.093115835,61.67466667,0.661109569,25.55866667,0.939187149,14,0.909090909
Sunday,19,19:00,14154750272,0.274293978,1421984664,0.227840697,30.489,0.601599307,58,0.548780488,3498.852721,0.066746181,301.0419423,0.007988028,8772.041435,0.344034374,670.4088001,0.083630559,40.22133333,0.426016569,20.41466667,0.706202066,14,0.909090909
Sunday,20,20:00,13440941632,0.260390551,1596647976,0.2565849,31.261,0.621259582,52,0.475609756,3985.448287,0.086264483,538.7230563,0.083783123,9223.725295,0.367297655,889.4167137,0.148555655,35.23066667,0.371327129,20.956,0.730720454,12,0.727272727
Sunday,21,21:00,21147122512,0.410490057,1845589240,0.297552967,36.665,0.758881504,59,0.56097561,5722.189503,0.155928579,484.8614263,0.066606969,10990.00554,0.458267193,864.1038242,0.141051626,39.48533333,0.417951228,23.77733333,0.858505948,13,0.818181818
Sunday,22,22:00,16884737936,0.327468152,1400599704,0.224321391,26.009,0.487508595,44,0.37804878,6528.00806,0.188251542,763.5568282,0.155481277,11178.49587,0.467975097,948.2315971,0.165991381,30.08533333,0.314942797,16.17466667,0.514161483,12,0.727272727
Sunday,23,23:00,14220712368,0.275578775,890914968,0.140442978,16.761,0.251992767,27,0.170731707,6666.994998,0.193826581,597.1849418,0.102426271,12989.44306,0.561245137,744.5131564,0.105598863,20.028,0.204731082,11.99333333,0.324778066,9,0.454545455
Monday,0,0:00,7147352000,0.137805225,526565336,0.080482248,12.69,0.148317926,22,0.109756098,10278.38606,0.338686558,637.3310742,0.115228634,10976.94448,0.457594503,701.9205255,0.092972239,8.636,0.079893631,9.609333333,0.216800531,8,0.363636364
Monday,1,1:00,1837483000,0.034380621,340452600,0.049853823,10.616,0.095500038,18,0.06097561,9589.604565,0.311058182,1313.242582,0.330772799,4980.236072,0.14874329,895.9821252,0.150501977,3.088,0.01909674,9.045333333,0.191255511,8,0.363636364
Monday,2,2:00,2776104840,0.052662916,298837128,0.043005198,11.126,0.108488043,20,0.085365854,17888.61345,0.643947702,558.5180034,0.090095614,5707.499322,0.186199861,616.797444,0.067737424,4.48,0.034350755,9.988,0.233951326,8,0.363636364
Monday,3,3:00,6925114152,0.13347652,497898416,0.075764556,12.274,0.137723788,21,0.097560976,26765.07545,1,1128.802653,0.271956001,12318.4971,0.526689101,1023.147614,0.188200302,5.972,0.050700603,9.72,0.221812911,8,0.363636364
